Time	MU_1	MU_2	MU_3	MU_4	MU_5	MU_6	MU_7	MU_8	MU_9	MU_10	MU_11	MU_12	MU_13	MU_14	MU_15	MU_16	MU_17	MU_18	MU_19	MU_20	MU_21	MU_22	MU_23	MU_24	MU_25	MU_26
16.33	22.5813417535819	20.7191882931346	20.2018368614088	20.0683223273151	17.9692545330988	18.239616260471	18.0210340245498	17.8628216641057	18.1366252810601	20.6192667067385	20.0046472297878	17.7916736861487	15.488328283612	18.1459669890961	11.8336314746482	12.1775760682571	12.4380662778069	11.233128063991	12.0828650205691	11.0386290856852	6.84381054053144	7.19582959972117	5.47119821695534	5.2621065925445	5.45394336687949	1.13066787497277
16.34	22.6113927185308	20.7410680680829	20.2297817102765	20.0874703112251	17.9699821516967	18.1945715170664	18.0190527577829	17.8618199373928	18.1180851574452	20.6632748787618	20.0060408442769	17.7614148767593	15.5139195050985	18.1164381540821	11.8484955297587	12.1778122664014	12.4706488110712	11.2530013117125	12.0754734366762	10.9956084108228	6.83211144168729	7.17718884439915	5.51559295001254	5.25829463418045	5.46057059008855	1.13213492719367
16.35	22.6422414621432	20.7637457588978	20.2599496980568	20.1064792534612	17.9707185917963	18.1527527195792	18.0168515701985	17.861507518427	18.0989452764507	20.7085340098254	20.0073590579248	17.7361052737986	15.5419734102621	18.0836376584627	11.8679011736953	12.1812814216831	12.5013432161094	11.2758725155241	12.0718744823258	10.952741754864	6.81711602830714	7.15536958288826	5.56190377203675	5.25349585779727	5.4653538981042	1.13702757977306
16.36	22.67469091755	20.7875456812277	20.2932339331429	20.1277320117685	17.9716631567789	18.1133531528051	18.0147089501786	17.8605962056981	18.0805628784355	20.7549584313515	20.0087037969413	17.713748514626	15.5748949660918	18.0501865947046	11.8920541076786	12.1884129705718	12.5304820765824	11.3015746229033	12.0718278537645	10.9099604715041	6.79891291446815	7.1328406892835	5.60994639548114	5.24767430645751	5.46831853872322	1.14532663856214
16.37	22.7079880214167	20.811988820107	20.3287025816268	20.1525634715993	17.9726024658884	18.0737762544976	18.012350791849	17.8566053397426	18.0655244884343	20.8026323504981	20.0097396275995	17.6924944798191	15.6136119703406	18.0165446823838	11.9236068265941	12.2019967442417	12.5605784093303	11.3300505386375	12.0756042857373	10.8676373237039	6.77753200323855	7.10977084373736	5.65952847620244	5.24089257514726	5.46942902053623	1.15700041298189
16.38	22.741700648933	20.8386775559763	20.3649944388702	20.1804895232609	17.9745925727097	18.033943064968	18.0111683861097	17.8490942498513	18.0542425035185	20.8515350833792	20.0090037452423	17.6725339751991	15.6556420592293	17.9804658459818	11.9626935958858	12.2223128539505	12.5925084419263	11.3611692038604	12.0819609055102	10.8257702508368	6.7531161188501	7.08627536797584	5.71046372686918	5.23314724129527	5.46868939626574	1.17200036513027
16.39	22.7765053682621	20.868944978505	20.40366386689	20.2096142052657	17.9776649483268	17.9938891855794	18.0113779005752	17.8393074713757	18.0465815275885	20.9010275258463	20.0078655244014	17.6560335524841	15.6990128989391	17.9404264962919	12.006189626457	12.2465302202565	12.6260063049421	11.3947865536058	12.0883104226653	10.7867218173999	6.72577711889778	7.06243657242093	5.76253272798685	5.22448974803929	5.46610132572948	1.19026959641245
16.4	22.8120738403817	20.8999793955791	20.4446094139604	20.241229373234	17.9806842066557	17.9546269905345	18.0113846932642	17.8298526761256	18.0435225364158	20.9508717069876	20.0067427366478	17.6450406941797	15.7435767686221	17.8967223268357	12.0536951178432	12.2735941734142	12.6609879699491	11.4308452176875	12.0942567971301	10.7525504583764	6.69798453819806	7.03834044814232	5.81537623809404	5.21494011704712	5.46167140099985	1.21173416286051
16.41	22.8485630478267	20.9315039964237	20.4879054954899	20.2746208401737	17.9838829623964	17.9163206973344	18.0114831085253	17.821156370712	18.0453189609643	21.0008727457086	20.0053926426911	17.6380004326102	15.7891792189269	17.8494544543698	12.1031550534793	12.3036446012151	12.6973249387606	11.4677319096496	12.0998837851563	10.7229307018493	6.67149029303467	7.01410878902612	5.86624831628233	5.20454823384143	5.45542172875052	1.23631133783441
16.42	22.8844158038787	20.9631466541611	20.5321151677887	20.3069862318374	17.9870569531844	17.8782258507364	18.0113942050156	17.8121999744211	18.0507777316323	21.0483399353661	20.001307352006	17.6325063059248	15.8355421483703	17.7988456610048	12.1522262204697	12.3363044939513	12.7348019889581	11.5027382437428	12.1050473829255	10.695447187213	6.64624199617431	6.98979778416978	5.91359261397092	5.19334958722666	5.44737320264793	1.26390365695443
16.43	22.9179079250969	20.996201020049	20.5755264481391	20.3381752099942	17.9905314202109	17.840697433055	18.0123068825401	17.8003537847735	18.0600596403941	21.0927716366665	19.9934624061678	17.6284195996598	15.8833527043206	17.7451545606811	12.2006957194223	12.3733427082398	12.7737009948445	11.5374730502886	12.1099192673332	10.6689964436217	6.62241287394517	6.96556086944353	5.95737960299477	5.18138720095529	5.43755646145922	1.29440363475838
16.44	22.9513944854561	21.0308477668943	20.6203632145335	20.3680251989782	17.9945316947019	17.8037183099591	18.0168887162935	17.7877352162495	18.0729870705358	21.1368617757427	19.9848198860598	17.6233837823537	15.9351661578354	17.6888023248533	12.2484075071122	12.416167455085	12.8153184256644	11.5740106267927	12.1130187541644	10.6439908040966	6.60007864759363	6.94151405350335	5.99736063930622	5.16870578105482	5.42601062459738	1.32768753837522
